STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER
ABAB,ABB-089,1371.6,10.3,-28.067,69.539,0.421,0.3643,2.188,GUF
ABAB,ABB-089,1371.7524,10.267,-28.083,68.88,0.401,0.3679,2.177,GUF
ABAB,ABB-089,1371.9048,10.235,-28.099,69.869,0.381,0.3715,2.189,GUF
ABAB,ABB-089,1372.0572,9.908,-28.116,70.858,0.361,0.3679,2.195,GUF
ABAB,ABB-089,1372.2096,9.821,-27.883,70.586,0.341,0.3643,2.19,GUF
ABAB,ABB-089,1372.362,9.734,-27.65,70.313,0.373,0.3588,2.158,GUF
ABAB,ABB-089,1372.5144,9.901,-27.417,68.108,0.406,0.3584,2.171,GUF
ABAB,ABB-089,1372.6668,9.963,-27.185,67.495,0.438,0.3612,2.193,GUF
ABAB,ABB-089,1372.8192,10.026,-26.754,68.392,0.47,0.3664,2.195,GUF
ABAB,ABB-089,1372.9716,9.906,-26.324,69.289,0.503,0.3716,2.186,GUF
ABAB,ABB-089,1373.124,9.787,-25.894,70.104,0.536,0.3776,2.182,GUF
ABAB,ABB-089,1373.2764,9.776,-25.463,70.92,0.569,0.3841,2.177,GUF
ABAB,ABB-089,1373.4288,9.766,-25.303,69.791,0.602,0.3869,2.189,GUF
ABAB,ABB-089,1373.5812,9.822,-25.143,67.2,0.709,0.3898,2.198,GUF
ABAB,ABB-089,1373.7336,9.878,-24.983,64.051,0.816,0.3787,2.193,GUF
ABAB,ABB-089,1373.886,9.64,-24.823,60.902,0.994,0.3622,2.188,GUF
ABAB,ABB-089,1374.0384,9.187,-25.158,57.852,1.171,0.3474,2.192,GUF
ABAB,ABB-089,1374.1908,9.122,-25.493,54.801,1.349,0.3317,2.24,GUF
ABAB,ABB-089,1374.3432,9.057,-25.828,52.223,1.466,0.316,2.244,GUF
ABAB,ABB-089,1374.4956,9.098,-26.62,49.644,1.583,0.2934,2.234,GUF
ABAB,ABB-089,1374.648,9.14,-27.412,48.591,1.634,0.2993,2.247,GUF
ABAB,ABB-089,1374.8004,9.181,-28.204,47.537,1.686,0.3128,2.237,GUF
ABAB,ABB-089,1374.9528,9.086,-29.513,45.25,1.738,0.3264,2.204,GUF
ABAB,ABB-089,1375.1052,8.99,-30.822,42.964,1.739,0.3412,2.142,GUF
ABAB,ABB-089,1375.2576,8.86,-32.131,43.359,1.741,0.3537,2.12,GUF
ABAB,ABB-089,1375.41,8.731,-33.411,43.941,1.742,0.3577,2.109,GUF
ABAB,ABB-089,1375.5624,8.741,-34.691,43.256,1.73,0.3532,2.132,GUF
ABAB,ABB-089,1375.7148,8.751,-35.971,42.571,1.717,0.3435,2.128,GUF
ABAB,ABB-089,1375.8672,8.721,-35.857,41.65,1.704,0.3441,2.143,GUF
ABAB,ABB-089,1376.0196,8.691,-35.743,40.729,1.691,0.3498,2.155,GUF
ABAB,ABB-089,1376.172,8.651,-35.147,40.384,1.678,0.3517,2.195,GUF
ABAB,ABB-089,1376.3244,8.612,-34.551,40.039,1.643,0.3463,2.201,GUF
ABAB,ABB-089,1376.4768,8.572,-33.954,40.786,1.607,0.3361,2.207,GUF
ABAB,ABB-089,1376.6292,8.533,-33.358,41.532,1.572,0.3233,2.245,GUF
ABAB,ABB-089,1376.7816,8.59,-32.378,42.278,1.537,0.3123,2.276,GUF
ABAB,ABB-089,1376.934,8.648,-31.397,44.091,1.555,0.297,2.305,GUF
ABAB,ABB-089,1377.0864,8.672,-30.417,45.371,1.572,0.278,2.358,GUF
ABAB,ABB-089,1377.2388,8.695,-29.436,46.652,1.59,0.2786,2.345,GUF
ABAB,ABB-089,1377.3912,8.718,-28.29,46.342,1.607,0.2887,2.32,GUF
ABAB,ABB-089,1377.5436,8.741,-27.144,46.032,1.625,0.3144,2.259,GUF
ABAB,ABB-089,1377.696,8.731,-25.998,45.722,1.645,0.3248,2.283,GUF
ABAB,ABB-089,1377.8484,8.72,-25.114,48.011,1.666,0.2969,2.303,GUF
ABAB,ABB-089,1378.0008,8.709,-24.231,50.648,1.686,0.2825,2.307,GUF
ABAB,ABB-089,1378.1532,8.744,-23.347,53.285,1.653,0.2681,2.31,GUF
ABAB,ABB-089,1378.3056,8.78,-22.464,53.674,1.619,0.2642,2.292,GUF
ABAB,ABB-089,1378.458,8.756,-22.73,54.063,1.585,0.2703,2.273,GUF
ABAB,ABB-089,1378.6104,8.732,-22.996,50.365,1.525,0.2764,2.264,GUF
ABAB,ABB-089,1378.7628,8.783,-23.262,46.173,1.464,0.2828,2.254,GUF
ABAB,ABB-089,1378.9152,8.833,-23.528,41.981,1.404,0.2893,2.225,GUF
ABAB,ABB-089,1379.0676,8.944,-24.724,40.687,1.478,0.2905,2.237,GUF
ABAB,ABB-089,1379.22,9.054,-25.921,43.3,1.553,0.2928,2.244,GUF
ABAB,ABB-089,1379.3724,9.031,-27.117,45.912,1.529,0.2952,2.259,GUF
ABAB,ABB-089,1379.5248,9.007,-28.172,48.133,1.505,0.3007,2.272,GUF
ABAB,ABB-089,1379.6772,8.984,-29.226,50.353,1.481,0.3061,2.262,GUF
ABAB,ABB-089,1379.8296,8.856,-29.537,52.574,1.257,0.305,2.242,GUF
ABAB,ABB-089,1379.982,8.942,-28.88,55.115,1.034,0.3039,2.272,GUF
ABAB,ABB-089,1380.1344,9.118,-28.222,57.657,0.927,0.3124,2.287,GUF
ABAB,ABB-089,1380.2868,9.294,-27.466,62.548,0.819,0.3427,2.285,GUF
ABAB,ABB-089,1380.4392,9.47,-26.71,63.296,0.711,0.3522,2.316,GUF
ABAB,ABB-089,1380.5916,9.527,-25.954,64.044,0.603,0.3618,2.326,GUF
ABAB,ABB-089,1380.744,9.584,-26.13,64.205,0.598,0.3685,2.322,GUF
ABAB,ABB-089,1380.8964,9.399,-26.306,64.365,0.593,0.3752,2.317,GUF
ABAB,ABB-089,1381.0488,9.214,-26.482,65.063,0.588,0.3834,2.336,GUF
